Set	Acc	Loss	+ACM-
base	0.2370264474	0.48463976	4
datatheseschilds2	0.2443333333	0.48002312	2
datatheseschilds6	0.2493333333	0.47971013	6
			
datathesesnodes3+AC0-10	0.316	0.4394943	10
base	0.2370264474	0.48463976	15
datathesesnodes3+AC0-20	0.1936454849	0.49399292	20
			
datathesesnodesize12	0.2576666667	0.40630823	12
datathesesnodesize14	0.2384615385	0.49421206	14
base	0.2370264474	0.48463976	10
datathesesnodesize6	0.2	0.50882757	6
datathesesnodesize8	0.2494983278	0.48044172	8
			
datathesessize1200	0.2491638796	0.48033407	1200
datathesessize1500	0.2404040404	0.48430702	1500
base			1000
datathesessize500	0.2290102389	0.48415715	500
datathesessize750	0.2439189189	0.4849149	750
			
datathesesres300	0.1418060201	0.54978675	300
base	0.2370264474	0.48463976	96
datathesesres48	0.2204013378	0.51238734	48
			
datathesescolor1	0.1056666667	0.8013596	
datathesescolor2	0.126	0.78642625	
