Set,Acc,Loss
datatheseschilds2,0.24433333333333335,0.48002312
datatheseschilds6,0.24933333333333332,0.47971013
datathesescolor1,0.10566666666666667,0.8013596
datathesescolor2,0.126,0.78642625
datathesesnodes3-10,0.316,0.4394943
datathesesnodes3-20,0.19364548494983277,0.49399292
datathesesnodesize12,0.25766666666666665,0.40630823
datathesesnodesize14,0.23846153846153847,0.49421206
datathesesnodesize6,0.2,0.50882757
datathesesnodesize8,0.24949832775919734,0.48044172
datathesessize1200,0.2491638795986622,0.48033407
datathesessize1500,0.2404040404040404,0.48430702
datathesessize500,0.22901023890784983,0.48415715
datathesessize750,0.24391891891891893,0.4849149
